house_id	calc_mode	state	phase	plan	plan_name	roof_max_kw	pv_model	pv_watt	pv_kw	panel_count	inverter_kw	ratio_percent	battery_nominal_kwh	battery_calculated_nominal_kwh	battery_method	pv_day_kwh	load_day_kwh	evening_kwh	night_kwh	surplus_kwh	tax_total_aud	subsidy_aud	final_price_aud
1	new	NSW	single	A	高端型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	16	14.84	A: max(整夜, 0.7×剩余)	3.52	21.31	4.72	12.69	0.00	16055	5460	10595
1	new	NSW	single	B	平衡型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	6.5	5.52	B: max(晚高峰, 0.55×剩余)	3.52	21.31	4.72	12.69	0.00	7015	2379	4636
1	new	NSW	single	C	经济型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	6.5	5.52	C: 晚高峰	3.52	21.31	4.72	12.69	0.00	7015	2379	4636
2	new	NSW	single	A	高端型	1.76	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	16	14.84	A: max(整夜, 0.7×剩余)	7.04	21.31	4.72	12.69	0.44	16577	5733	10844
2	new	NSW	single	B	平衡型	1.76	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	6.5	5.52	B: max(晚高峰, 0.55×剩余)	7.04	21.31	4.72	12.69	0.44	7538	2652	4886
2	new	NSW	single	C	经济型	1.76	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	6.5	5.52	C: 晚高峰	7.04	21.31	4.72	12.69	0.44	7538	2652	4886
2	expansion	NSW	single	A	高端型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	16	14.84	A: max(整夜, 0.7×剩余)	3.52	21.31	4.72	12.69	0.00	16055	5460	10595
2	expansion	NSW	single	B	平衡型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	6.5	5.52	B: max(晚高峰, 0.55×剩余)	3.52	21.31	4.72	12.69	0.00	7015	2379	4636
2	expansion	NSW	single	C	经济型	0.88	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	6.5	5.52	C: 晚高峰	3.52	21.31	4.72	12.69	0.00	7015	2379	4636
3	new	NSW	single	A	高端型	7.92	JA Solar JAM72S30 550/MR	440	7.92	18	5	158	20	17.84	A: max(整夜, 0.7×剩余)	31.68	21.31	4.72	12.69	21.79	25274	9048	16226
3	new	NSW	single	B	平衡型	7.92	JA Solar JAM72S30 550/MR	440	7.92	18	5	158	16	14.02	B: max(晚高峰, 0.55×剩余)	31.68	21.31	4.72	12.69	21.79	21468	7722	13746
3	new	NSW	single	C	经济型	7.92	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
3	expansion	NSW	single	A	高端型	4.84	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	16	14.84	A: max(整夜, 0.7×剩余)	19.36	21.31	4.72	12.69	10.23	19023	6747	12276
3	expansion	NSW	single	B	平衡型	4.84	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	6.58	B: max(晚高峰, 0.55×剩余)	19.36	21.31	4.72	12.69	10.23	12933	4680	8253
3	expansion	NSW	single	C	经济型	4.84	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	6.5	5.52	C: 晚高峰	19.36	21.31	4.72	12.69	10.23	9984	3666	6318
4	new	NSW	single	A	高端型	3.96	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	16	14.84	A: max(整夜, 0.7×剩余)	15.84	21.31	4.72	12.69	7.13	18500	6435	12065
4	new	NSW	single	B	平衡型	3.96	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	6.5	5.52	B: max(晚高峰, 0.55×剩余)	15.84	21.31	4.72	12.69	7.13	9461	3354	6107
4	new	NSW	single	C	经济型	3.96	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	6.5	5.52	C: 晚高峰	15.84	21.31	4.72	12.69	7.13	9461	3354	6107
4	expansion	NSW	single	A	高端型	2.20	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	16	14.84	A: max(整夜, 0.7×剩余)	8.80	21.31	4.72	12.69	1.45	17147	5889	11258
4	expansion	NSW	single	B	平衡型	2.20	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	6.5	5.52	B: max(晚高峰, 0.55×剩余)	8.80	21.31	4.72	12.69	1.45	8108	2808	5300
4	expansion	NSW	single	C	经济型	2.20	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	6.5	5.52	C: 晚高峰	8.80	21.31	4.72	12.69	1.45	8108	2808	5300
5	new	NSW	single	A	高端型	11.88	JA Solar JAM72S30 550/MR	440	11.88	27	7	170	40	30.47	A: max(整夜, 0.7×剩余)	47.52	21.31	4.72	12.69	37.22	47273	16848	30425
5	new	NSW	single	B	平衡型	11.88	JA Solar JAM72S30 550/MR	440	10.12	23	6	169	20	19.50	B: max(晚高峰, 0.55×剩余)	40.48	21.31	4.72	12.69	30.32	26889	9750	17139
5	new	NSW	single	C	经济型	11.88	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
5	expansion	NSW	single	A	高端型	7.48	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	20	16.46	A: max(整夜, 0.7×剩余)	29.92	21.31	4.72	12.69	20.10	25013	8931	16082
5	expansion	NSW	single	B	平衡型	7.48	JA Solar JAM72S30 550/MR	440	7.48	17	5	150	13.5	12.93	B: max(晚高峰, 0.55×剩余)	29.92	21.31	4.72	12.69	20.10	18828	6786	12042
5	expansion	NSW	single	C	经济型	7.48	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	6.5	5.52	C: 晚高峰	26.40	21.31	4.72	12.69	16.72	11337	4212	7125
6	new	NSW	single	A	高端型	3.96	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	16	14.84	A: max(整夜, 0.7×剩余)	15.84	21.31	4.72	12.69	7.13	18500	6435	12065
6	new	NSW	single	B	平衡型	3.96	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	6.5	5.52	B: max(晚高峰, 0.55×剩余)	15.84	21.31	4.72	12.69	7.13	9461	3354	6107
6	new	NSW	single	C	经济型	3.96	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	6.5	5.52	C: 晚高峰	15.84	21.31	4.72	12.69	7.13	9461	3354	6107
6	expansion	NSW	single	A	高端型	2.20	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	16	14.84	A: max(整夜, 0.7×剩余)	8.80	21.31	4.72	12.69	1.45	17147	5889	11258
