house_id	panels	pv_kw	TAS_surplus_kwh_day	TAS_A_kwh	TAS_B_kwh	TAS_C_kwh	VIC_surplus_kwh_day	VIC_A_kwh	VIC_B_kwh	VIC_C_kwh	NSW_surplus_kwh_day	NSW_A_kwh	NSW_B_kwh	NSW_C_kwh	SA_surplus_kwh_day	SA_A_kwh	SA_B_kwh	SA_C_kwh	QLD_surplus_kwh_day	QLD_A_kwh	QLD_B_kwh	QLD_C_kwh	ACT_surplus_kwh_day	ACT_A_kwh	ACT_B_kwh	ACT_C_kwh	NT_surplus_kwh_day	NT_A_kwh	NT_B_kwh	NT_C_kwh	WA_surplus_kwh_day	WA_A_kwh	WA_B_kwh	WA_C_kwh
2839	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
2840	12	5.28	1.66	24.6	7.9	7.9	4.66	16.5	5.3	5.3	4.91	19.1	7.1	7.1	6.24	17.6	6.6	6.6	7.24	13.0	5.5	5.5	6.48	22.5	9.0	9.0	3.33	22.9	9.7	9.7	5.56	17.5	7.4	7.4
2841	53	23.32	42.61	39.9	24.9	7.9	49.46	46.3	28.9	5.3	54.73	50.0	32.0	7.1	59.29	50.0	34.7	6.6	60.81	50.0	35.6	5.5	59.30	50.0	34.7	9.0	56.56	50.0	33.1	9.7	60.56	50.0	35.4	7.4
2842	2	0.88	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2843	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2844	33	14.52	21.21	24.6	12.4	7.9	26.87	25.1	15.7	5.3	29.64	27.7	17.3	7.1	32.78	30.7	19.2	6.6	34.08	31.9	19.9	5.5	32.68	30.6	19.1	9.0	29.15	27.3	17.0	9.7	32.86	30.7	19.2	7.4
2845	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
2846	40	17.60	28.57	26.7	16.7	7.9	34.64	32.4	20.3	5.3	38.36	35.9	22.4	7.1	42.04	39.3	24.6	6.6	43.34	40.5	25.3	5.5	41.96	39.3	24.5	9.0	38.65	36.2	22.6	9.7	42.55	39.8	24.9	7.4
2847	0	0.00	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2848	31	13.64	19.15	24.6	11.2	7.9	24.65	23.1	14.4	5.3	27.17	25.4	15.9	7.1	30.14	28.2	17.6	6.6	31.44	29.4	18.4	5.5	30.02	28.1	17.6	9.0	26.47	24.8	15.5	9.7	30.15	28.2	17.6	7.4
2849	25	11.00	13.21	24.6	7.9	7.9	17.99	16.8	10.5	5.3	19.77	19.1	11.6	7.1	22.32	20.9	13.1	6.6	23.53	22.0	13.8	5.5	22.17	22.5	13.0	9.0	18.73	22.9	11.0	9.7	22.01	20.6	12.9	7.4
2850	36	15.84	24.31	24.6	14.2	7.9	30.20	28.3	17.7	5.3	33.34	31.2	19.5	7.1	36.75	34.4	21.5	6.6	38.05	35.6	22.3	5.5	36.66	34.3	21.4	9.0	33.22	31.1	19.4	9.7	37.01	34.6	21.6	7.4
2851	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
2852	45	19.80	33.97	31.8	19.9	7.9	40.29	37.7	23.6	5.3	44.66	41.8	26.1	7.1	48.65	45.5	28.4	6.6	50.02	46.8	29.3	5.5	48.59	45.5	28.4	9.0	45.48	42.6	26.6	9.7	49.48	46.3	28.9	7.4
2853	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
2854	40	17.60	28.57	26.7	16.7	7.9	34.64	32.4	20.3	5.3	38.36	35.9	22.4	7.1	42.04	39.3	24.6	6.6	43.34	40.5	25.3	5.5	41.96	39.3	24.5	9.0	38.65	36.2	22.6	9.7	42.55	39.8	24.9	7.4
2855	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
2856	35	15.40	23.28	24.6	13.6	7.9	29.09	27.2	17.0	5.3	32.11	30.0	18.8	7.1	35.43	33.1	20.7	6.6	36.73	34.4	21.5	5.5	35.33	33.1	20.7	9.0	31.87	29.8	18.6	9.7	35.63	33.3	20.8	7.4
2857	33	14.52	21.21	24.6	12.4	7.9	26.87	25.1	15.7	5.3	29.64	27.7	17.3	7.1	32.78	30.7	19.2	6.6	34.08	31.9	19.9	5.5	32.68	30.6	19.1	9.0	29.15	27.3	17.0	9.7	32.86	30.7	19.2	7.4
2858	46	20.24	35.05	32.8	20.5	7.9	41.43	38.8	24.2	5.3	45.92	43.0	26.9	7.1	49.97	46.8	29.2	6.6	51.37	48.1	30.0	5.5	49.92	46.7	29.2	9.0	46.87	43.9	27.4	9.7	50.86	47.6	29.7	7.4
2859	17	7.48	5.71	24.6	7.9	7.9	9.60	16.5	5.6	5.3	10.48	19.1	7.1	7.1	12.18	17.6	7.1	6.6	13.26	13.0	7.8	5.5	12.41	22.5	9.0	9.0	8.78	22.9	9.7	9.7	11.71	17.5	7.4	7.4
2860	11	4.84	1.05	24.6	7.9	7.9	3.78	16.5	5.3	5.3	3.96	19.1	7.1	7.1	5.05	17.6	6.6	6.6	6.05	13.0	5.5	5.5	5.36	22.5	9.0	9.0	2.31	22.9	9.7	9.7	4.47	17.5	7.4	7.4
2861	30	13.20	18.16	24.6	10.6	7.9	23.54	22.0	13.8	5.3	25.94	24.3	15.2	7.1	28.82	27.0	16.9	6.6	30.12	28.2	17.6	5.5	28.70	26.9	16.8	9.0	25.17	23.6	14.7	9.7	28.79	26.9	16.8	7.4
2862	23	10.12	11.24	24.6	7.9	7.9	15.83	16.5	9.3	5.3	17.37	19.1	10.2	7.1	19.73	18.5	11.5	6.6	20.94	19.6	12.2	5.5	19.71	22.5	11.5	9.0	16.24	22.9	9.7	9.7	19.35	18.1	11.3	7.4
2863	36	15.84	24.31	24.6	14.2	7.9	30.20	28.3	17.7	5.3	33.34	31.2	19.5	7.1	36.75	34.4	21.5	6.6	38.05	35.6	22.3	5.5	36.66	34.3	21.4	9.0	33.22	31.1	19.4	9.7	37.01	34.6	21.6	7.4
2864	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2865	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
2866	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
2867	52	22.88	41.53	38.9	24.3	7.9	48.30	45.2	28.2	5.3	53.47	50.0	31.3	7.1	57.94	50.0	33.9	6.6	59.46	50.0	34.8	5.5	57.95	50.0	33.9	9.0	55.18	50.0	32.3	9.7	59.17	50.0	34.6	7.4
2868	47	20.68	36.13	33.8	21.1	7.9	42.56	39.8	24.9	5.3	47.18	44.1	27.6	7.1	51.29	48.0	30.0	6.6	52.72	49.3	30.8	5.5	51.25	47.9	30.0	9.0	48.25	45.1	28.2	9.7	52.25	48.9	30.6	7.4
2869	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
2870	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
2871	27	11.88	15.19	24.6	8.9	7.9	20.21	18.9	11.8	5.3	22.24	20.8	13.0	7.1	24.91	23.3	14.6	6.6	26.15	24.5	15.3	5.5	24.72	23.1	14.5	9.0	21.27	22.9	12.4	9.7	24.72	23.1	14.5	7.4
2872	6	2.64	0.00	24.6	7.9	7.9	0.06	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.20	17.6	6.6	6.6	0.89	13.0	5.5	5.5	0.63	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.02	17.5	7.4	7.4
2873	40	17.60	28.57	26.7	16.7	7.9	34.64	32.4	20.3	5.3	38.36	35.9	22.4	7.1	42.04	39.3	24.6	6.6	43.34	40.5	25.3	5.5	41.96	39.3	24.5	9.0	38.65	36.2	22.6	9.7	42.55	39.8	24.9	7.4
2874	43	18.92	31.81	29.8	18.6	7.9	38.03	35.6	22.2	5.3	42.14	39.4	24.6	7.1	46.00	43.0	26.9	6.6	47.32	44.3	27.7	5.5	45.94	43.0	26.9	9.0	42.72	40.0	25.0	9.7	46.71	43.7	27.3	7.4
2875	50	22.00	39.37	36.8	23.0	7.9	45.99	43.0	26.9	5.3	50.95	47.7	29.8	7.1	55.26	50.0	32.3	6.6	56.76	50.0	33.2	5.5	55.24	50.0	32.3	9.0	52.41	49.0	30.6	9.7	56.40	50.0	33.0	7.4
2876	32	14.08	20.18	24.6	11.8	7.9	25.76	24.1	15.1	5.3	28.40	26.6	16.6	7.1	31.46	29.4	18.4	6.6	32.76	30.7	19.2	5.5	31.35	29.3	18.3	9.0	27.80	26.0	16.3	9.7	31.50	29.5	18.4	7.4
2877	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
2878	32	14.08	20.18	24.6	11.8	7.9	25.76	24.1	15.1	5.3	28.40	26.6	16.6	7.1	31.46	29.4	18.4	6.6	32.76	30.7	19.2	5.5	31.35	29.3	18.3	9.0	27.80	26.0	16.3	9.7	31.50	29.5	18.4	7.4
2879	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
2880	15	6.60	4.04	24.6	7.9	7.9	7.56	16.5	5.3	5.3	8.22	19.1	7.1	7.1	9.80	17.6	6.6	6.6	10.80	13.0	6.3	5.5	9.98	22.5	9.0	9.0	6.47	22.9	9.7	9.7	9.22	17.5	7.4	7.4
2881	3	1.32	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2882	24	10.56	12.23	24.6	7.9	7.9	16.89	16.5	9.9	5.3	18.55	19.1	10.9	7.1	21.03	19.7	12.3	6.6	22.23	20.8	13.0	5.5	20.92	22.5	12.2	9.0	17.48	22.9	10.2	9.7	20.65	19.3	12.1	7.4
2883	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2884	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
2885	7	3.08	0.00	24.6	7.9	7.9	0.61	16.5	5.3	5.3	0.54	19.1	7.1	7.1	0.96	17.6	6.6	6.6	1.76	13.0	5.5	5.5	1.42	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.65	17.5	7.4	7.4
2886	28	12.32	16.18	24.6	9.5	7.9	21.32	19.9	12.5	5.3	23.47	22.0	13.7	7.1	26.21	24.5	15.3	6.6	27.47	25.7	16.1	5.5	26.04	24.4	15.2	9.0	22.57	22.9	13.2	9.7	26.08	24.4	15.2	7.4
2887	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2888	2	0.88	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2889	35	15.40	23.28	24.6	13.6	7.9	29.09	27.2	17.0	5.3	32.11	30.0	18.8	7.1	35.43	33.1	20.7	6.6	36.73	34.4	21.5	5.5	35.33	33.1	20.7	9.0	31.87	29.8	18.6	9.7	35.63	33.3	20.8	7.4
2890	0	0.00	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2891	14	6.16	3.21	24.6	7.9	7.9	6.55	16.5	5.3	5.3	7.09	19.1	7.1	7.1	8.61	17.6	6.6	6.6	9.61	13.0	5.6	5.5	8.76	22.5	9.0	9.0	5.42	22.9	9.7	9.7	7.98	17.5	7.4	7.4
2892	23	10.12	11.24	24.6	7.9	7.9	15.83	16.5	9.3	5.3	17.37	19.1	10.2	7.1	19.73	18.5	11.5	6.6	20.94	19.6	12.2	5.5	19.71	22.5	11.5	9.0	16.24	22.9	9.7	9.7	19.35	18.1	11.3	7.4
2893	39	17.16	27.49	25.7	16.1	7.9	33.53	31.4	19.6	5.3	37.10	34.7	21.7	7.1	40.72	38.1	23.8	6.6	42.01	39.3	24.6	5.5	40.63	38.0	23.8	9.0	37.30	34.9	21.8	9.7	41.17	38.5	24.1	7.4
2894	23	10.12	11.24	24.6	7.9	7.9	15.83	16.5	9.3	5.3	17.37	19.1	10.2	7.1	19.73	18.5	11.5	6.6	20.94	19.6	12.2	5.5	19.71	22.5	11.5	9.0	16.24	22.9	9.7	9.7	19.35	18.1	11.3	7.4
2895	29	12.76	17.17	24.6	10.0	7.9	22.43	21.0	13.1	5.3	24.70	23.1	14.4	7.1	27.50	25.7	16.1	6.6	28.79	26.9	16.8	5.5	27.37	25.6	16.0	9.0	23.87	22.9	14.0	9.7	27.43	25.7	16.0	7.4
2896	38	16.72	26.41	24.7	15.4	7.9	32.42	30.3	19.0	5.3	35.84	33.5	21.0	7.1	39.39	36.9	23.0	6.6	40.69	38.1	23.8	5.5	39.31	36.8	23.0	9.0	35.94	33.6	21.0	9.7	39.78	37.2	23.3	7.4
2897	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2899	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
2900	8	3.52	0.00	24.6	7.9	7.9	1.24	16.5	5.3	5.3	1.23	19.1	7.1	7.1	1.90	17.6	6.6	6.6	2.76	13.0	5.5	5.5	2.30	22.5	9.0	9.0	0.08	22.9	9.7	9.7	1.42	17.5	7.4	7.4
2901	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
2902	58	25.52	48.00	44.9	28.1	7.9	55.24	50.0	32.3	5.3	61.06	50.0	35.7	7.1	66.04	50.0	38.6	6.6	67.56	50.0	39.5	5.5	66.07	50.0	38.6	9.0	63.49	50.0	37.1	9.7	67.58	50.0	39.5	7.4
2903	21	9.24	9.29	24.6	7.9	7.9	13.70	16.5	8.0	5.3	15.01	19.1	8.8	7.1	17.14	17.6	10.0	6.6	18.35	17.2	10.7	5.5	17.27	22.5	10.1	9.0	13.75	22.9	9.7	9.7	16.75	17.5	9.8	7.4
2904	28	12.32	16.18	24.6	9.5	7.9	21.32	19.9	12.5	5.3	23.47	22.0	13.7	7.1	26.21	24.5	15.3	6.6	27.47	25.7	16.1	5.5	26.04	24.4	15.2	9.0	22.57	22.9	13.2	9.7	26.08	24.4	15.2	7.4
2905	7	3.08	0.00	24.6	7.9	7.9	0.61	16.5	5.3	5.3	0.54	19.1	7.1	7.1	0.96	17.6	6.6	6.6	1.76	13.0	5.5	5.5	1.42	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.65	17.5	7.4	7.4
2906	11	4.84	1.05	24.6	7.9	7.9	3.78	16.5	5.3	5.3	3.96	19.1	7.1	7.1	5.05	17.6	6.6	6.6	6.05	13.0	5.5	5.5	5.36	22.5	9.0	9.0	2.31	22.9	9.7	9.7	4.47	17.5	7.4	7.4
2907	25	11.00	13.21	24.6	7.9	7.9	17.99	16.8	10.5	5.3	19.77	19.1	11.6	7.1	22.32	20.9	13.1	6.6	23.53	22.0	13.8	5.5	22.17	22.5	13.0	9.0	18.73	22.9	11.0	9.7	22.01	20.6	12.9	7.4
2908	18	7.92	6.55	24.6	7.9	7.9	10.62	16.5	6.2	5.3	11.61	19.1	7.1	7.1	13.42	17.6	7.8	6.6	14.50	13.6	8.5	5.5	13.63	22.5	9.0	9.0	10.02	22.9	9.7	9.7	12.95	17.5	7.6	7.4
2909	16	7.04	4.88	24.6	7.9	7.9	8.58	16.5	5.3	5.3	9.35	19.1	7.1	7.1	10.99	17.6	6.6	6.6	12.02	13.0	7.0	5.5	11.19	22.5	9.0	9.0	7.59	22.9	9.7	9.7	10.47	17.5	7.4	7.4
2910	30	13.20	18.16	24.6	10.6	7.9	23.54	22.0	13.8	5.3	25.94	24.3	15.2	7.1	28.82	27.0	16.9	6.6	30.12	28.2	17.6	5.5	28.70	26.9	16.8	9.0	25.17	23.6	14.7	9.7	28.79	26.9	16.8	7.4
2911	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2912	22	9.68	10.25	24.6	7.9	7.9	14.77	16.5	8.6	5.3	16.19	19.1	9.5	7.1	18.44	17.6	10.8	6.6	19.64	18.4	11.5	5.5	18.49	22.5	10.8	9.0	14.99	22.9	9.7	9.7	18.05	17.5	10.6	7.4
2913	23	10.12	11.24	24.6	7.9	7.9	15.83	16.5	9.3	5.3	17.37	19.1	10.2	7.1	19.73	18.5	11.5	6.6	20.94	19.6	12.2	5.5	19.71	22.5	11.5	9.0	16.24	22.9	9.7	9.7	19.35	18.1	11.3	7.4
2914	35	15.40	23.28	24.6	13.6	7.9	29.09	27.2	17.0	5.3	32.11	30.0	18.8	7.1	35.43	33.1	20.7	6.6	36.73	34.4	21.5	5.5	35.33	33.1	20.7	9.0	31.87	29.8	18.6	9.7	35.63	33.3	20.8	7.4
2915	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
2916	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2917	1	0.44	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2918	39	17.16	27.49	25.7	16.1	7.9	33.53	31.4	19.6	5.3	37.10	34.7	21.7	7.1	40.72	38.1	23.8	6.6	42.01	39.3	24.6	5.5	40.63	38.0	23.8	9.0	37.30	34.9	21.8	9.7	41.17	38.5	24.1	7.4
2919	37	16.28	25.35	24.6	14.8	7.9	31.31	29.3	18.3	5.3	34.59	32.4	20.2	7.1	38.07	35.6	22.3	6.6	39.37	36.8	23.0	5.5	37.98	35.5	22.2	9.0	34.58	32.4	20.2	9.7	38.40	35.9	22.5	7.4
2920	4	1.76	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.00	13.0	5.5	5.5	0.00	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2921	27	11.88	15.19	24.6	8.9	7.9	20.21	18.9	11.8	5.3	22.24	20.8	13.0	7.1	24.91	23.3	14.6	6.6	26.15	24.5	15.3	5.5	24.72	23.1	14.5	9.0	21.27	22.9	12.4	9.7	24.72	23.1	14.5	7.4
2922	54	23.76	43.69	40.9	25.5	7.9	50.62	47.4	29.6	5.3	55.99	50.0	32.7	7.1	60.64	50.0	35.5	6.6	62.16	50.0	36.4	5.5	60.66	50.0	35.5	9.0	57.95	50.0	33.9	9.7	61.94	50.0	36.2	7.4
2923	26	11.44	14.20	24.6	8.3	7.9	19.10	17.9	11.2	5.3	21.00	19.7	12.3	7.1	23.62	22.1	13.8	6.6	24.83	23.2	14.5	5.5	23.44	22.5	13.7	9.0	19.97	22.9	11.7	9.7	23.36	21.9	13.7	7.4
2924	20	8.80	8.37	24.6	7.9	7.9	12.65	16.5	7.4	5.3	13.88	19.1	8.1	7.1	15.90	17.6	9.3	6.6	17.05	16.0	10.0	5.5	16.06	22.5	9.4	9.0	12.51	22.9	9.7	9.7	15.45	17.5	9.0	7.4
2925	65	28.60	55.62	50.0	32.5	7.9	63.34	50.0	37.0	5.3	70.05	50.0	41.0	7.1	75.48	50.0	44.1	6.6	77.00	50.0	45.0	5.5	75.56	50.0	44.2	9.0	73.18	50.0	42.8	9.7	77.48	50.0	45.3	7.4
2926	95	41.80	89.14	50.0	50.0	7.9	98.03	50.0	50.0	5.3	108.60	50.0	50.0	7.1	115.95	50.0	50.0	6.6	117.47	50.0	50.0	5.5	117.00	50.0	50.0	9.0	115.40	50.0	50.0	9.7	119.87	50.0	50.0	7.4
2927	5	2.20	0.00	24.6	7.9	7.9	0.00	16.5	5.3	5.3	0.00	19.1	7.1	7.1	0.00	17.6	6.6	6.6	0.17	13.0	5.5	5.5	0.07	22.5	9.0	9.0	0.00	22.9	9.7	9.7	0.00	17.5	7.4	7.4
2928	56	24.64	45.84	42.9	26.8	7.9	52.93	49.5	31.0	5.3	58.51	50.0	34.2	7.1	63.34	50.0	37.0	6.6	64.86	50.0	37.9	5.5	63.37	50.0	37.1	9.0	60.72	50.0	35.5	9.7	64.76	50.0	37.9	7.4
2929	36	15.84	24.31	24.6	14.2	7.9	30.20	28.3	17.7	5.3	33.34	31.2	19.5	7.1	36.75	34.4	21.5	6.6	38.05	35.6	22.3	5.5	36.66	34.3	21.4	9.0	33.22	31.1	19.4	9.7	37.01	34.6	21.6	7.4
2930	39	17.16	27.49	25.7	16.1	7.9	33.53	31.4	19.6	5.3	37.10	34.7	21.7	7.1	40.72	38.1	23.8	6.6	42.01	39.3	24.6	5.5	40.63	38.0	23.8	9.0	37.30	34.9	21.8	9.7	41.17	38.5	24.1	7.4
2931	67	29.48	57.82	50.0	33.8	7.9	65.65	50.0	38.4	5.3	72.62	50.0	42.5	7.1	78.18	50.0	45.7	6.6	79.70	50.0	46.6	5.5	78.32	50.0	45.8	9.0	75.95	50.0	44.4	9.7	80.30	50.0	47.0	7.4
2932	17	7.48	5.71	24.6	7.9	7.9	9.60	16.5	5.6	5.3	10.48	19.1	7.1	7.1	12.18	17.6	7.1	6.6	13.26	13.0	7.8	5.5	12.41	22.5	9.0	9.0	8.78	22.9	9.7	9.7	11.71	17.5	7.4	7.4
2933	22	9.68	10.25	24.6	7.9	7.9	14.77	16.5	8.6	5.3	16.19	19.1	9.5	7.1	18.44	17.6	10.8	6.6	19.64	18.4	11.5	5.5	18.49	22.5	10.8	9.0	14.99	22.9	9.7	9.7	18.05	17.5	10.6	7.4
2934	22	9.68	10.25	24.6	7.9	7.9	14.77	16.5	8.6	5.3	16.19	19.1	9.5	7.1	18.44	17.6	10.8	6.6	19.64	18.4	11.5	5.5	18.49	22.5	10.8	9.0	14.99	22.9	9.7	9.7	18.05	17.5	10.6	7.4
2935	10	4.40	0.45	24.6	7.9	7.9	2.92	16.5	5.3	5.3	3.01	19.1	7.1	7.1	3.95	17.6	6.6	6.6	4.86	13.0	5.5	5.5	4.30	22.5	9.0	9.0	1.49	22.9	9.7	9.7	3.42	17.5	7.4	7.4
2936	34	14.96	22.25	24.6	13.0	7.9	27.98	26.2	16.4	5.3	30.87	28.9	18.1	7.1	34.11	31.9	19.9	6.6	35.40	33.1	20.7	5.5	34.00	31.8	19.9	9.0	30.51	28.5	17.8	9.7	34.24	32.0	20.0	7.4
2937	36	15.84	24.31	24.6	14.2	7.9	30.20	28.3	17.7	5.3	33.34	31.2	19.5	7.1	36.75	34.4	21.5	6.6	38.05	35.6	22.3	5.5	36.66	34.3	21.4	9.0	33.22	31.1	19.4	9.7	37.01	34.6	21.6	7.4
2938	38	16.72	26.41	24.7	15.4	7.9	32.42	30.3	19.0	5.3	35.84	33.5	21.0	7.1	39.39	36.9	23.0	6.6	40.69	38.1	23.8	5.5	39.31	36.8	23.0	9.0	35.94	33.6	21.0	9.7	39.78	37.2	23.3	7.4
